Name,Region,ISO_3166_Num,ISO_3166,Country,Business Model,Network Sharing Architecture,Network Technology,Deployment Scenario,Otro
ufinet,Latin America,32,ARG,Argentina,Independent Fixed NaaSCo,FTTH wholesale | Dark Fiber Leasing | IP/Ethernet Services | Wavelength Service,"GPON, Ethernet, DWDM","Rural, Low-ARPU Urban, High-ARPU Urban",2
ufinet,Latin America,152,CHL,Chile,Independent Fixed NaaSCo,FTTH wholesale | Dark Fiber Leasing | IP/Ethernet Services | Wavelength Service,"GPON, Ethernet, DWDM","Rural, Low-ARPU Urban, High-ARPU Urban",2
ufinet,Latin America,604,PER,Peru,Independent Fixed NaaSCo,FTTH wholesale | Dark Fiber Leasing | IP/Ethernet Services | Wavelength Service,"GPON, Ethernet, DWDM","Rural, Low-ARPU Urban, High-ARPU Urban",4
ufinet,Latin America,76,BRA,Brazil,Independent Fixed NaaSCo,FTTH wholesale | Dark Fiber Leasing | IP/Ethernet Services | Wavelength Service,"GPON, Ethernet, DWDM","Rural, Low-ARPU Urban, High-ARPU Urban",4
Lyntia,Europe,724,ESP,Spain,Independent Fixed NaaSCo,FTTH wholesale | Dark Fiber Leasing | IP/Ethernet Services | Wavelength Service,"GPON, Ethernet, DWDM","Rural, Low-ARPU Urban, High-ARPU Urban",2
Eurofiber,Europe,528,NLD,Netherlands,Independent Fixed NaaSCo,Dark Fiber Leasing | IP/Ethernet Services | Wavelength Service,"Ethernet, WDM","Rural, Low-ARPU Urban, High-ARPU Urban",2
Eurofiber,Europe,56,BEL,Belgium,Independent Fixed NaaSCo,Dark Fiber Leasing | IP/Ethernet Services | Wavelength Service,"Ethernet, WDM","Rural, Low-ARPU Urban, High-ARPU Urban",3
Eurofiber,Europe,250,FRA,France,Independent Fixed NaaSCo,Dark Fiber Leasing | IP/Ethernet Services | Wavelength Service,"Ethernet, WDM","Rural, Low-ARPU Urban, High-ARPU Urban",2
Eurofiber,Europe,276,DEU,Germany,Independent Fixed NaaSCo,Dark Fiber Leasing | IP/Ethernet Services | Wavelength Service,"Ethernet, WDM","Rural, Low-ARPU Urban, High-ARPU Urban",1
Liquid Telecom,Africa & Middle East,710,ZAF,South Africa,Independent Fixed NaaSCo,IP/Ethernet Services,Ethernet,"Rural, Low-ARPU Urban",3
